Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,Edu Severity,EDU-PIN ,EDU-TAR,FSL Severity,FSL-PIN ,FSL-TAR,HLT Severity,HEA-PIN ,HEA-TAR,Nut Severity,NUT-PIN ,NUT-TAR,GP Severity,GP-PIN ,GP-TAR,CP Severity,CP-PIN ,CP-TAR,GBV Seveirty,GBV-PIN ,GBV-TAR,MA Severity,MA-PIN,MA-TAR,SNFI Severity,SNFI-PIN ,SNFI-TAR,WSH Severity,WASH-PIN ,WASH-TAR,SM Severity,SM-PIN,SM-TAR,RCF-PIN ,RCF-TAR
Khartoum,SD01,Jebel Awlia,SD01001,4,"341,102","101,817",3,"539,664","360,757",4,"54,444","38,111",4,"142,900","60,599",5,"94,623","56,774",5,"100,026","8,905",5,"100,828","20,166",4,"441,381","354,138",5,"265,427","27,398",4,"598,658","210,468",0,0,0,"14,684","14,684"
Khartoum,SD01,Um Bada,SD01002,4,"386,895","231,617",4,"604,496","407,783",4,"16,265","11,386",4,"151,495","62,102",5,"102,646","71,852",5,"111,167","7,269",5,"420,598","84,120",4,"499,596","400,121",5,"299,844","30,372",4,"479,807","295,505",0,0,0,"8,015","8,015"
Khartoum,SD01,Bahri,SD01003,4,"143,468","42,809",4,"210,015","156,670",4,"29,417","20,592",4,"66,592","29,201",5,"41,010","24,606",5,"42,664","4,478",5,"43,068","8,614",4,"185,915","149,355",5,"112,243","11,700",4,"236,586","83,061",0,0,0,"5,517","5,517"
Khartoum,SD01,Sharg An Neel,SD01004,4,"219,785","65,406",4,"272,719","245,976",4,"50,450","35,315",3,"59,626","23,863",5,"65,015","39,009",4,"66,429","7,931",4,"53,216",0,4,"285,298","229,533",5,"172,416","18,255",4,"240,067","151,735",0,0,0,"13,530","13,530"
Khartoum,SD01,Karrari,SD01005,4,"281,574","84,228",3,"408,376","300,790",4,"20,267","14,187",2,"52,036","23,011",5,"81,056","48,634",4,"84,010","8,876",4,"230,710",0,4,"365,007","293,316",5,"221,515","23,026",3,"327,881","173,462",0,0,0,"1,112","1,112"
Khartoum,SD01,Um Durman,SD01006,4,"112,637","33,560",4,"166,051","124,560",4,"53,916","37,741",4,"45,100","20,210",5,"32,635","19,581",5,"33,709","3,781",5,"122,078","24,416",4,"146,059","117,404",5,"88,154","9,253",4,"134,823","72,538",0,0,0,"5,956","5,956"
Khartoum,SD01,Khartoum,SD01007,4,"156,302","46,408",4,"270,437","168,451",4,"25,785","18,050",3,"40,764","16,830",5,"43,200","25,920",5,"45,758","3,984",5,"168,735","33,747",4,"202,218","162,223",5,"120,472","12,553",4,"141,812","97,047",0,0,0,"19,269","19,269"
North Darfur,SD02,Dar As Salam,SD02113,4,"42,776","23,099",3,"77,232","31,162",3,"110,332","55,166",3,"18,404","7,833",4,"60,683","24,273",4,"36,409","29,131",4,"39,302","15,721",2,"30,341",0,4,"44,133","16,770",4,"73,960","48,875",4,"44,216","22,108",0,0
North Darfur,SD02,Al Fasher,SD02114,4,"333,571","185,970",4,"857,984","362,342",3,"888,444","444,222",4,"142,902","61,411",5,"586,213","410,349",4,"339,172","292,071",5,"368,462","73,692",4,"541,342","433,073",5,"535,990","107,085",3,"553,386","361,116",5,"535,902","267,951","1,402","1,402"
North Darfur,SD02,Al Koma,SD02116,4,"5,572","3,262",4,"8,392","12,500",1,"12,500",0,4,"4,317","1,736",3,"3,012",754,4,"2,352",984,4,"2,110",844,0,0,0,2,0,0,3,"6,605","6,467",0,0,0,0,0
North Darfur,SD02,Al Malha,SD02117,4,"16,743","4,930",4,"22,062","22,062",2,"7,980",0,4,"14,245","5,699",3,"7,910",791,4,"6,507","2,303",4,"5,630",0,0,0,0,3,"9,435",0,3,"12,076","6,802",0,0,0,0,0
North Darfur,SD02,As Serief,SD02118,4,"13,523","3,788",3,"19,713","12,497",3,"23,092","11,546",4,"8,824","3,675",4,"13,880","4,165",4,"8,917","6,162",4,"9,159",0,2,"8,119",0,3,"9,285",0,5,"33,838","17,841",5,"9,307","4,654",0,0
North Darfur,SD02,At Tawisha,SD02119,4,"14,784","4,427",3,"13,802","8,692",1,700,0,4,"15,257","6,349",3,"4,128",413,4,"4,350",393,4,"3,212",0,0,0,0,3,"7,697",0,3,"8,067","5,894",0,0,0,0,0
North Darfur,SD02,Um Baru,SD02120,4,"16,540","4,943",3,"16,007","11,133",1,"1,654",0,3,"8,378","3,271",3,"5,011",501,4,"5,057",665,4,"3,835",0,2,"6,606",0,2,0,0,4,"41,096","6,719",4,277,139,0,0
North Darfur,SD02,Kebkabiya,SD02124,4,"68,658","19,852",4,"142,662","82,169",3,"185,637","92,819",4,"24,092","11,389",5,"91,910","55,146",4,"55,756","43,603",4,"47,735",0,1,"34,198",0,4,"68,396","12,171",4,"151,244","79,109",5,"44,839","22,420",0,0
North Darfur,SD02,Kelemando,SD02126,4,"13,598","7,795",3,"22,439","28,226",2,"15,636",0,3,"10,977","4,723",3,"10,544","2,637",4,"7,298","4,236",4,"7,108","2,843",0,0,0,3,"8,578","4,400",4,"17,678","15,783",4,"1,073",537,0,0
North Darfur,SD02,Kutum,SD02128,4,"85,616","25,360",4,"170,064","121,277",4,"143,528","100,470",4,"34,312","14,399",5,"125,207","75,124",5,"74,707","63,610",5,"68,950","13,790",2,"61,770",0,4,"89,999","8,021",4,"148,320","98,032",5,"53,225","26,613",0,0
North Darfur,SD02,Melit,SD02129,4,"35,602","20,358",3,"62,596","45,378",3,"43,108","21,554",3,"30,094","13,359",4,"28,581","11,433",4,"19,585","11,652",4,"19,214","7,686",3,"38,887","27,221",3,"22,677",847,4,"71,297","41,323",4,"11,529","5,765",0,0
North Darfur,SD02,Saraf Omra,SD02133,4,"60,981","16,465",3,"106,169","47,052",3,"157,288","78,644",4,"21,511","9,383",4,"86,508","25,952",4,"51,905","41,528",4,"56,030",0,1,"31,458",0,4,"62,915","35,862",4,"132,894","81,024",0,0,0,0,0
North Darfur,SD02,Um Kadadah,SD02136,4,"21,650","12,955",3,"23,237","14,421",1,"1,500",0,4,"21,297","9,211",3,"6,259","1,566",4,"6,474",698,4,"4,836","1,934",1,"5,734",0,2,0,0,3,"43,760","9,085",0,0,0,0,0
North Darfur,SD02,Kernoi,SD02168,4,"18,477","5,537",3,"21,726","7,948",1,510,0,3,"17,283","7,753",3,"4,996",501,4,"5,354",397,4,"3,913",0,1,"4,817",0,2,0,0,4,"43,506","7,478",0,0,0,0,0
North Darfur,SD02,Al Lait,SD02169,4,"24,764","13,337",3,"31,641","24,213",1,"44,586",0,4,"16,499","6,806",3,"15,524","3,882",4,"11,493","5,603",4,"16,036","6,414",1,"8,418",0,4,0,0,3,"29,321","28,743",0,0,0,"22,551","22,551"
North Darfur,SD02,Tawila,SD02170,4,"56,791","16,947",4,"128,887","92,776",4,"111,293","77,905",3,"10,745","4,450",5,"111,316","66,789",4,"63,372","56,338",4,"46,527",0,1,"36,130",0,4,"72,649","27,558",4,"140,937","65,422",5,"91,662","45,831",0,0
North Darfur,SD02,At Tina,SD02171,4,"7,612","2,172",3,"13,131","19,548",2,"9,630",0,4,"5,720","2,943",3,"6,297",630,4,"4,278","2,598",4,"4,222",0,1,"2,926",0,2,0,0,4,"14,819","8,835",4,"4,815","2,408",0,0
South Darfur,SD03,Al Radoum,SD03141,4,"39,158",0,3,"92,005","89,589",2,"86,008",0,3,"12,344","4,804",3,"41,483","10,372",4,"26,453","18,587",4,"31,180","12,472",0,0,0,4,"34,149","6,121",4,"93,830","25,789",0,0,0,"16,268","16,268"
South Darfur,SD03,Ed Al Fursan,SD03143,4,"37,023",0,3,"38,116","10,819",3,"7,220","3,610",3,"21,001","8,799",3,"12,798","3,200",4,"12,093","2,397",4,"9,560","3,824",0,0,0,3,"19,821","2,600",4,"89,761","42,972",4,"3,610","1,805",0,0
South Darfur,SD03,Kas,SD03144,4,"97,776","52,891",3,"249,186","116,098",3,"252,884","126,442",3,"36,087","15,195",4,"140,482","56,193",4,"84,092","4,211",4,"89,994","35,998",2,"69,847",0,4,"114,080","42,653",4,"211,301","113,487",4,"92,611","46,306",0,0
South Darfur,SD03,Mershing,SD03145,4,"42,084","23,335",4,"102,013","97,404",3,"94,026","47,013",4,"11,091","4,632",4,"58,418","23,367",4,"35,193","27,922",4,"35,104","14,042",2,"29,494",0,4,"42,849","7,950",3,"71,911","9,944",4,"38,343","19,172",0,0
South Darfur,SD03,Um Dafoug,SD03146,4,"13,936",0,3,"19,450","7,526",1,"5,954",0,2,"3,916","1,455",3,"4,438","1,110",4,"4,366",684,4,"4,331","1,732",1,"3,782",0,3,"7,376",418,5,"34,752","22,462",4,696,348,"4,080","4,080"
South Darfur,SD03,Sharg Aj Jabal,SD03147,4,"5,506","3,126",4,"12,236","12,236",3,"7,648","3,824",4,"3,062","1,718",4,"4,861","1,945",4,"3,245","2,056",4,"3,244","1,298",1,"2,185",0,3,"3,606",280,3,"6,227","2,485",4,"3,275","1,638",0,0
South Darfur,SD03,Tulus,SD03149,4,"58,188",0,3,"71,671","14,987",2,"7,514",0,3,"28,403","10,814",3,"18,390","4,597",4,"18,162","2,776",4,"13,963","5,585",0,0,0,3,"29,265",0,3,"78,446","67,538",4,802,401,0,0
South Darfur,SD03,Al Wihda,SD03150,4,"19,371","11,231",4,"36,702","34,746",3,"16,810","8,405",4,"4,380","1,718",2,0,0,4,"9,195","4,622",4,"8,612","3,445",2,"9,596",0,2,0,0,3,"25,296","22,483",4,"1,205",603,0,0
South Darfur,SD03,Nitega,SD03151,4,"36,010","20,538",4,"71,747","47,322",3,"45,917","22,959",4,"13,560","5,769",2,0,0,4,"20,318","12,384",4,"20,077","8,031",0,0,0,3,"9,183",0,3,"73,358","9,061",4,"19,239","9,620",0,0
South Darfur,SD03,Gereida,SD03153,4,"91,375","53,352",3,"205,174","144,867",4,"167,883","117,518",3,"26,797","10,657",4,"146,177","58,471",4,"85,868","71,734",4,"69,312","27,725",1,"50,815",0,4,"101,629","9,358",3,"188,863","106,058",4,"134,897","67,448",0,0
South Darfur,SD03,Shattaya,SD03154,4,"11,058",0,3,"14,261","12,835",1,0,0,3,"8,610","3,776",0,0,0,4,"3,137",158,4,"2,258",903,0,0,0,2,0,0,5,"26,785","12,835",0,0,0,0,0
South Darfur,SD03,As Sunta,SD03156,4,"33,214",0,3,"47,785","12,509",3,"9,900","4,950",3,"18,860","8,412",2,0,0,4,"11,603","3,035",4,"9,526","3,810",0,0,0,2,0,0,5,"76,377","51,307",4,500,250,0,0
South Darfur,SD03,Kubum,SD03157,4,"36,744","21,873",3,"42,388","11,532",2,"7,464",0,4,"24,729","10,527",4,"12,836","5,134",4,"12,068","2,456",4,"9,572","3,829",1,"10,224",0,3,"19,701",200,4,"68,254","42,648",4,"3,732","1,866",0,0
South Darfur,SD03,Rehaid Albirdi,SD03158,4,"50,281","29,845",4,"71,795","67,692",3,"13,900","6,950",3,"14,853","5,525",3,"19,224","4,807",4,"17,325","4,313",4,"14,117","5,647",0,0,0,3,"23,158",0,4,"100,819","58,361",4,"3,393","1,696",0,0
South Darfur,SD03,Kateila,SD03159,4,"26,172","15,195",3,"40,102","23,962",3,"21,834","10,917",4,"12,187","5,315",2,0,0,4,"12,229","6,018",4,"11,391","4,556",1,"8,934",0,2,0,0,4,"68,239","30,377",4,"6,329","3,165",0,0
South Darfur,SD03,Buram,SD03161,4,"55,588","31,321",4,"117,843","68,375",3,"86,634","43,317",3,"17,572","6,740",4,"53,011","21,204",4,"34,679","23,010",4,"35,324","14,130",1,"22,932",0,3,"37,270","10,300",4,"120,924","64,520",4,"1,401",701,692,692
South Darfur,SD03,Beliel,SD03162,4,"251,484","150,073",4,"569,411","320,895",4,"450,541","315,379",3,"58,682","23,545",5,"454,545","318,181",4,"261,862","227,428",4,"192,617","77,047",4,"410,923","328,739",5,"411,086","76,063",3,"376,155","283,635",4,"419,705","209,852","6,408","6,408"
South Darfur,SD03,Nyala Shimal,SD03164,4,"235,564","63,640",4,"607,594","243,463",2,"622,919",0,4,"87,053","37,802",5,"335,645","201,387",5,"201,223","169,664",5,"248,720","49,744",2,"167,496",0,4,"273,907","25,578",3,"343,099","133,233",5,"305,428","152,714",0,0
South Darfur,SD03,As Salam - SD,SD03166,4,"29,924","17,378",4,"53,036","42,787",2,"23,521",0,4,"10,044","3,968",3,"17,735","4,435",4,"13,388","6,182",4,"12,576","5,030",2,"14,360",0,3,0,0,4,"59,526","33,903",0,0,0,"1,261","1,261"
South Darfur,SD03,Nyala Janoub,SD03167,4,"128,471","35,531",4,"309,590","134,187",2,"263,778",0,4,"50,444","22,184",5,"149,587","89,751",5,"93,382","72,286",5,"113,500","22,700",3,"145,485","101,840",5,"177,043","31,160",3,"92,812","37,895",5,"87,826","43,913","5,307","5,307"
South Darfur,SD03,Damso,SD03172,4,"33,163",0,3,"45,324","16,253",2,"12,420",0,3,"22,610","9,546",2,0,0,4,"11,692","3,157",4,"10,131","4,052",0,0,0,2,0,0,4,"58,962","38,493",4,"4,427","2,214","2,046","2,046"
West Darfur,SD04,Beida,SD04111,4,"64,880","18,867",4,"120,925","86,947",4,"51,296","35,907",3,"11,181","4,435",4,"39,818","11,946",5,"29,692","14,894",5,"33,227","6,645",3,"69,503","48,652",4,"43,729","12,440",4,"111,108","75,305",5,"8,189","4,094",0,0
West Darfur,SD04,Ag Geneina,SD04115,4,"190,579","113,581",4,"353,858","353,859",4,"66,641","46,648",3,"57,567","23,356",5,"63,635","44,545",5,"61,150","11,490",5,"61,735","12,347",5,"347,311","347,311",5,"153,866","33,742",3,"240,908","46,261",4,"10,914","5,457",375,375
West Darfur,SD04,Foro Baranga,SD04121,4,"25,863","7,577",4,"48,827","41,658",4,"18,140","12,698",3,"6,328","2,455",4,"13,700","4,110",5,"10,775","4,623",5,"11,781","2,356",1,"8,233",0,4,"16,466","4,300",4,"57,043","30,019",5,"4,981","2,491",0,0
West Darfur,SD04,Habila - WD,SD04122,4,"44,713","12,469",3,"99,967","71,186",4,"81,189","56,832",3,"6,746","2,715",4,"48,043","14,413",4,"30,536","21,612",4,"31,622",0,3,"50,189","35,132",4,"39,292","3,800",5,"120,024","51,899",5,"40,567","20,284",55,55
West Darfur,SD04,Jebel Moon,SD04123,4,"36,305","10,641",4,"81,011","57,336",4,"62,067","43,447",3,"4,446","1,827",4,"55,529","16,659",4,"32,870","27,037",4,"26,211",0,4,"57,080","45,664",4,"39,246","14,264",4,"101,573","42,138",4,"3,276","1,638",0,0
West Darfur,SD04,Kereneik,SD04125,4,"111,180","32,461",4,"202,783","90,014",4,"110,147","77,103",3,"24,559","9,435",5,"63,240","37,944",4,"48,442","21,445",4,"43,982",0,1,"36,357",0,4,"72,715","30,110",3,"106,472","50,835",5,"35,351","17,675",0,0
West Darfur,SD04,Kulbus,SD04127,4,"27,136","7,740",3,"62,803","55,903",4,"55,614","38,930",3,"9,381","4,350",2,0,0,4,"24,584","20,226",4,"21,784",0,0,0,0,4,"29,348","10,888",4,"63,742","31,497",4,"10,479","5,240",0,0
West Darfur,SD04,Sirba,SD04134,4,"44,424","13,244",3,"66,228","54,405",4,"7,128","4,990",4,"12,789","5,255",4,"14,666","4,400",4,"14,172","2,479",4,"11,045",0,3,"46,190","32,333",4,"24,342","8,073",4,"72,251","48,845",4,"3,349","1,675",0,0
East Darfur,SD05,Adila,SD05139,4,"46,880","25,620",3,"112,321","30,083",2,"103,725",0,4,"22,157","9,504",3,"56,931","14,234",4,"35,222","1,765",4,"38,149","15,260",1,"22,056",0,4,"39,538","6,917",2,"62,813",0,4,"1,902",951,"4,081","4,081"
East Darfur,SD05,Abu Jabrah,SD05140,4,"36,408","19,531",3,"92,375","44,212",2,"90,501",0,4,"9,255","3,801",3,"46,075","11,519",4,"28,265","1,416",4,"32,154","12,862",0,0,0,3,"26,933","9,841",4,"100,784","42,259",0,0,0,"8,981","8,981"
East Darfur,SD05,Ad Du'ayn,SD05142,4,"94,403","52,514",4,"243,494","119,230",3,"249,284","124,642",3,"28,052","11,609",4,"163,656","65,462",4,"94,890","81,368",4,"89,355","35,742",1,"55,306",0,5,"150,441","58,047",2,"128,196",0,4,"80,252","40,126",524,524
East Darfur,SD05,Shia'ria,SD05148,4,"47,296","28,190",4,"103,706","74,388",4,"81,357","56,950",4,"34,276","18,697",3,"81,791","20,448",4,"47,443","40,650",4,"35,099","14,040",2,"37,630",0,4,"55,328","10,220",4,"135,009","54,896",4,"5,272","2,636",0,0
East Darfur,SD05,Al Firdous,SD05152,4,"39,731","23,469",3,"78,529","39,339",3,"72,022","36,011",4,"11,452","4,784",3,"47,436","11,860",4,"29,453","21,929",4,"23,083","9,233",0,0,0,4,"37,817","19,211",5,"106,578","62,518",4,"7,098","3,549","6,275","6,275"
East Darfur,SD05,Abu Karinka,SD05155,4,"47,360","26,711",3,"96,431","61,554",2,"70,705",0,4,"23,007","9,863",3,"42,866","10,716",4,"28,422","18,284",4,"29,155","11,662",0,0,0,3,"31,242","9,853",3,"100,195","54,382",0,0,0,"2,593","2,593"
East Darfur,SD05,Bahr Al Arab,SD05160,4,"60,709","32,481",4,"146,736","76,734",3,"134,694","67,347",4,"30,159","13,827",3,"60,586","15,146",4,"39,189","1,965",4,"48,335","19,334",1,"25,643",0,4,"59,763","10,497",5,"155,495","78,090",0,0,0,"34,834","34,834"
East Darfur,SD05,Assalaya,SD05163,4,"29,275","16,803",4,"48,748","45,011",1,"21,986",0,4,"16,300","7,134",3,"12,600","3,151",4,"10,775","3,320",4,"11,643","4,657",0,0,0,3,"16,224","1,022",5,"69,543","33,568",4,"5,360","2,680","10,766","10,766"
